id,x,y,z,status
165,5.3689504,6.91905,-4.2340503,Ansiedad
166,5.39295,6.8640003,-4.143,Ansiedad
167,5.3910003,6.8830504,-4.0350003,Ansiedad
168,5.2450504,6.885,-4.10895,Ansiedad
169,5.07495,6.8710504,-4.1929502,Ansiedad
170,5.1540003,6.9739504,-4.2169504,Ansiedad
171,5.29005,6.9280505,-4.19805,Ansiedad
172,5.3430004,6.873,-4.0300503,Ansiedad
173,5.31195,6.8950505,-3.867,Ansiedad
174,5.2489505,6.9619503,-4.21995,Ansiedad
175,5.23995,6.9090004,-3.93495,Ansiedad
176,5.2920003,6.91905,-4.12095,Ansiedad
177,5.2830005,6.885,-4.10895,Ansiedad
178,5.4150004,6.8950505,-3.97305,Ansiedad
179,5.2830005,6.8539505,-4.10505,Ansiedad
180,5.35995,6.9930005,-3.9199502,Ansiedad
181,5.1010504,7.00995,-4.1119504,Ansiedad
182,4.97205,7.0410004,-4.2910504,Ansiedad
183,5.06505,7.0069504,-4.4419503,Ansiedad
184,5.2210503,6.9310503,-4.38495,Ansiedad
185,4.9500003,7.0339503,-4.3819504,Ansiedad
186,5.2540503,6.8920503,-4.13805,Ansiedad
187,5.27295,6.86805,-4.25505,Ansiedad
188,5.01195,6.9859505,-4.524,Ansiedad
189,5.1730504,6.9690003,-4.689,Ansiedad
190,5.2450504,6.9,-4.6789503,Ansiedad
191,5.0890503,6.9550505,-4.215,Ansiedad
192,4.905,6.9430504,-4.3819504,Ansiedad
193,5.2180505,6.7699504,-4.4929504,Ansiedad
194,5.2330503,6.7560005,-4.37505,Ansiedad
195,5.26095,6.8440504,-4.5550504,Ansiedad
196,5.2519503,6.8040004,-4.2319503,Ansiedad
197,5.3310003,6.8590503,-4.44705,Ansiedad
198,5.25705,6.8110504,-4.27005,Ansiedad
199,5.4,6.8899503,-4.4539504,Ansiedad
200,5.412,6.97095,-4.40205,Ansiedad
201,5.31195,6.8899503,-4.3489504,Ansiedad
202,5.5150504,6.7060504,-3.8700001,Ansiedad
